feature,importance,split
DTF_season_cos_0.6225286602431057,0.0,0
DTF_season_cos_0.6358984534680745,0.0,0
DTF_season_cos_0.6490800741100398,0.0,0
DTF_season_cos_0.6620696215153815,0.0,0
DTF_season_cos_0.6748632518680403,0.0,0
DTF_season_cos_0.6874571793269664,0.0,0
DTF_season_cos_0.699847677146407,0.0,0
DTF_season_cos_0.7120310787787131,0.0,0
DTF_season_cos_0.7240037789593305,0.0,0
DTF_season_cos_0.7357622347736527,0.0,0
DTF_season_cos_0.7473029667054296,0.0,0
DTF_season_cos_0.75862255966641,0.0,0
DTF_season_cos_0.7697176640069211,0.0,0
DTF_season_cos_0.7805849965070866,0.0,0
DTF_season_cos_0.7912213413483807,0.0,0
DTF_season_cos_0.801623551065242,0.0,0
DTF_season_cos_0.8117885474764613,0.0,0
DTF_season_cos_0.8217133225960589,0.0,0
DTF_season_cos_0.8313949395234058,0.0,0
DTF_season_cos_0.8408305333122887,0.0,0
DTF_season_cos_0.8500173118187018,0.0,0
DTF_season_cos_0.8589525565270845,0.0,0
DTF_season_cos_0.8676336233547726,0.0,0
DTF_season_cos_0.8760579434344281,0.0,0
DTF_season_cos_0.8842230238742036,0.0,0
DTF_season_cos_0.8921264484954345,0.0,0
DTF_season_cos_0.8997658785476209,0.0,0
DTF_season_cos_0.9071390534005044,0.0,0
DTF_season_cos_0.9142437912130223,0.0,0
DTF_season_cos_0.9210779895789526,0.0,0
DTF_season_cos_0.9276396261490468,0.0,0
DTF_season_cos_0.9339267592294762,0.0,0
DTF_season_cos_0.9399375283564132,0.0,0
DTF_season_cos_0.9456701548465688,0.0,0
DTF_season_cos_0.9511229423235356,0.0,0
DTF_season_cos_0.956294277219772,0.0,0
DTF_season_cos_0.9611826292540836,0.0,0
DTF_season_cos_0.9657865518844574,0.0,0
DTF_season_cos_0.9701046827361176,0.0,0
DTF_season_cos_0.974135744004672,0.0,0
DTF_season_cos_0.9778785428342386,0.0,0
DTF_season_cos_0.9813319716704276,0.0,0
DTF_season_cos_0.9844950085880858,0.0,0
DTF_season_cos_0.9873667175937016,0.0,0
DTF_season_cos_0.989946248902378,0.0,0
DTF_season_cos_0.9922328391893008,0.0,0
DTF_season_cos_0.994225811815616,0.0,0
DTF_season_cos_0.99592457702866,0.0,0
DTF_season_cos_0.9973286321364752,0.0,0
DTF_season_cos_0.9976335468520452,0.0,0
DTF_season_cos_0.9984375616565666,0.0,0
DTF_season_cos_0.9986686402879996,0.0,0
DTF_season_cos_0.999251037438848,0.0,0
DTF_season_cos_0.9994082116062598,0.0,0
DTF_season_cos_0.999768818762748,0.0,0
DTF_season_cos_0.9998520419557736,0.0,0
DTF_season_cos_0.9999907524084426,0.0,0
DTF_season_cos_0.9963032375991964,0.0,0
DTF_season_cos_0.9927586335250792,0.0,0
DTF_season_sin_0.1030313790431787,0.0,0
DTF_season_sin_0.1880994176117975,0.0,0
DTF_season_cos_0.9821499931752292,0.0,0
DTF_season_cos_0.9946781061893646,0.0,0
DTF_season_sin_0.0859061042613327,0.0,0
DTF_season_cos_0.985240282501282,0.0,0
DTF_season_sin_0.1711770596101998,0.0,0
DTF_season_cos_0.9905453876091832,0.0,0
DTF_season_sin_0.1542040475626894,0.0,0
DTF_season_sin_0.1371854040566005,0.0,0
DTF_season_sin_0.1201261651823505,0.0,0
DTF_season_cos_0.988039023376751,0.0,0
latitude,0.013108631,1
longitude,0.015187127,1
accommodates,0.124348775,1
bedrooms,0.09783307,1
has_kitchen,0.005174666,1
has_wifi,0.006788228,1
has_smoke_alarm,0.004656624,1
has_essentials,0.009270326,1
has_hot_water,0.005935145,1
has_hair_dryer,0.022830045,1
has_washer,0.017945707,1
has_iron,0.015649332,1
has_dishes_and_silverware,0.017663535,1
has_bed_linens,0.053654257,1
has_hangers,0.0038678993,1
has_cooking_basics,0.09681182,1
has_refrigerator,0.026999924,1
has_heating,0.008905388,1
has_tv,0.017908446,1
has_microwave,0.021814398,1
has_shampoo,0.0071195564,1
has_hot_water_kettle,0.16553517,1
has_dedicated_workspace,0.0217935,1
has_cleaning_products,0.012869244,1
bathrooms,0.104075514,1
neighbourhood_cleansed_encoded,0.012992358,1
DTF_day_of_week,0.0032042346,1
DTF_month,0.002696186,1
DTF_is_weekend,0.0030003286,1
DTF_season_sin,0.008417488,1
DTF_season_cos,0.003403893,1
distance_to_center,0.020194791,1
north_south,0.013168266,1
east_west,0.020571684,1
DTF_day_of_week_1,0.0,1
DTF_day_of_week_2,0.0,1
DTF_day_of_week_3,0.0,1
DTF_day_of_week_4,0.0,1
DTF_day_of_week_5,0.0,1
DTF_day_of_week_6,0.0,1
DTF_day_of_week_7,0.0,1
DTF_month_1,1.12227945e-05,1
DTF_month_8,0.0,1
DTF_month_9,0.0049849777,1
DTF_month_10,0.0069480245,1
DTF_month_11,2.764989e-05,1
DTF_month_12,0.0,1
DTF_is_weekend_0,0.0,1
DTF_is_weekend_1,0.0026325143,1
DTF_season_sin_-0.9999994220246924,0.0,1
DTF_season_sin_-0.9998699583618592,0.0,1
DTF_season_sin_-0.999832969770105,0.0,1
DTF_season_sin_-0.9994446170919858,0.0,1
DTF_season_sin_-0.9993706508539968,0.0,1
DTF_season_sin_-0.9987235240803972,0.0,1
DTF_season_sin_-0.9986126020839734,0.0,1
DTF_season_sin_-0.9977068927101168,0.0,1
DTF_season_sin_-0.9975590477788612,0.0,1
DTF_season_sin_-0.9963950238187232,0.0,1
DTF_season_sin_-0.9962102997023295,0.0,1
DTF_season_sin_-0.994788305609327,0.0,1
DTF_season_sin_-0.9945667569706336,0.0,1
DTF_season_sin_-0.9928872135356962,0.0,1
DTF_season_sin_-0.9926289059345096,0.0,1
DTF_season_sin_-0.9906923101615608,0.0,1
DTF_season_sin_-0.9903973200352558,0.0,1
DTF_season_sin_-0.9882042449941422,0.0,1
